title,author,length
,Tae Kim,Length: 9 hrs and 42 mins
,Robin Sharma,Length: 9 hrs and 59 mins
,Anne Frank,Length: 11 hrs and 41 mins
,"Esther Hicks,Jerry Hicks",Length: 7 hrs and 23 mins
,Dr. Joseph Murphy,Length: 9 hrs and 3 mins
,Sanjaya Baru,Length: 5 hrs and 25 mins
,Adam Gilchrist,Length: 17 hrs and 8 mins
,B.K. Shivani,Length: 9 hrs and 13 mins
,Jeff Kinney,Length: 2 hrs and 29 mins
,J. P. Pomare,Length: 6 hrs and 20 mins
,Brian Tracy,Length: 2 hrs and 1 min
,Satya Vyas,Length: 6 hrs
,Marni Kinrys,Length: 6 hrs and 28 mins
,Krishnarao Arjun Keluskar,Length: 6 hrs and 2 mins
,"Larry Rosenberg,David Guy,Jon Kabat-Zinn - foreward",Length: 7 hrs and 33 mins
,Ashwin Sanghi,Length: 14 hrs and 48 mins
,"James Patterson,Aaron Tracy,Ryan Silbert",Length: 3 hrs and 52 mins
,Tal Bauer,Length: 14 hrs and 15 mins
,Saradindu Bandopadhyay,Length: 6 hrs and 26 mins
,J. Krishnamurti,Length: 13 hrs and 57 mins
,Chetan Bhagat,Length: 7 hrs and 58 mins
,Peter V. Brett,Length: 12 hrs and 54 mins
,Harvard Business Review,Length: 4 hrs and 57 mins
,Kalki,Length: 11 hrs and 46 mins
,Brian Tracy,Length: 1 hr and 37 mins
,Abhishek Therkar,Length: 31 mins
,Om Swami,Length: 5 hrs and 25 mins
,Anand Neelakantan,Length: 15 hrs and 15 mins
,Satyarth Nayak,Length: 13 hrs and 33 mins
,Sankar,Length: 17 hrs and 6 mins
,Madhan,Length: 12 hrs and 43 mins
,Robin Sharma,Length: 9 hrs and 2 mins
,Charles Seife,Length: 6 hrs and 25 mins
,Uday Nagnath,Length: 8 hrs and 7 mins
,Cara Bastone,Length: 4 hrs and 35 mins
,Travis Beacham,Length: 4 hrs and 55 mins
,Robin Sharma,Length: 4 hrs and 51 mins
,Grady Hendrix,Length: 16 hrs and 19 mins
,"Robert A. Heinlein,Arthur C. Clarke,Isaac Asimov,Robert Silverberg - editor",Length: 28 hrs and 10 mins
,Rainshine Entertainment Private Limited,Length: 40 mins
,Amritlal Nagar,Length: 9 hrs and 15 mins
,Brynn Kelly,Length: 10 hrs and 3 mins
,Brian Tracy,Length: 6 hrs and 18 mins
,Faith G. Harper PhD LPC-S ACS ACN,Length: 2 hrs and 14 mins
,Ajeet Bharti,Length: 4 hrs and 28 mins
,"Toby Sinclair,Shobita Punja,Rudrangsh Mukherjee",Length: 9 hrs and 47 mins
,Munshi Premchand,Length: 16 hrs and 17 mins
,Jayavant Dalvi,Length: 2 hrs and 41 mins
,Devora Zack,Length: 4 hrs and 1 min
,Brandon Sanderson,Length: 18 hrs and 35 mins
,OSHO,Length: 1 hr and 49 mins
,"Mohinder Amarnath,Rajender Amarnath - contributor",Length: 18 hrs and 14 mins
,Napoleon Hill,Length: 8 hrs and 11 mins
,Shashank Bhartiya,Length: 9 hrs and 14 mins
,Balli Kaur Jaswal,Length: 10 hrs and 34 mins
,OSHO,Length: 1 hr and 42 mins
,Abhishek Therkar,Length: 29 mins
,Dr. Navaz Habib,Length: 5 hrs and 12 mins
,George Orwell,Length: 16 hrs and 18 mins
,Mary Shelley,Length: 8 hrs and 35 mins
,Brandon Sanderson,Length: 17 hrs and 50 mins
,Surender Mohan Pathak,Length: 11 hrs and 49 mins
,Osho,Length: 14 hrs and 40 mins
,Franz Kafka,Length: 8 hrs and 25 mins
,James Islington,Length: 26 hrs and 28 mins
,Babu Devkinandan Khatri,Length: 65 hrs and 15 mins
,Rebecca Yarros,Length: 14 hrs and 32 mins
,Kalki Krishnamurthy,Length: 30 hrs and 18 mins
,"Robert Louis Stevenson,Marty Ross - adaptation",Length: 6 hrs and 23 mins
,Devdutt Pattanaik,Length: 5 hrs and 18 mins
,"Philip Corr,Anke Plagnol",Length: 8 hrs and 12 mins
,Vineet Bajpai,Length: 10 hrs and 44 mins
,Sanjeev Paliwal,Length: 10 hrs and 57 mins
,Saurabh Kudesia,Length: 10 hrs and 47 mins
,Tracy Wolff,Length: 14 hrs and 56 mins
,George S. Clason,Length: 6 hrs
,Om Swami,Length: 6 hrs and 51 mins
,Anthony Horowitz,Length: 8 hrs and 31 mins
,BBC Studios,Length: 2 hrs and 41 mins
,Nitin Seth,Length: 18 hrs and 1 min
,"Philip A. Fisher,Kenneth L. Fisher - introduction contributor",Length: 13 hrs and 10 mins
,Viktor E Frankl,Length: 7 hrs and 33 mins
